timestamp,model,task,prompt_tokens,completion_tokens,total_tokens,cost_usd,success,error_msg,prompt
2025-06-20T11:40:42.791592,gpt-3.5-turbo,summarize,1360,118,1478,0.002217,True,,
2025-06-20T22:47:12.414076,gpt-3.5-turbo,summarize,32,99,131,0.000197,True,,
2025-06-20T22:47:54.914272,gpt-3.5-turbo,summarize,32,97,129,0.000194,True,,
2025-06-20T22:49:34.258524,gpt-3.5-turbo,summarize,32,108,140,0.00021,True,,
2025-06-20T23:06:03.389721,gpt-3.5-turbo,summarize,1371,94,1465,0.002198,True,,
2025-06-21T11:36:34.443848,gpt-3.5-turbo,ask,8,0,8,1.2e-05,True,context_note_ids=[],"Relevant notes:



User query:
test"
2025-06-21T11:36:36.526730,gpt-3.5-turbo,ask,8,30,38,5.7e-05,True,,
2025-06-21T15:56:01.564082,gpt-3.5-turbo,ask,8,0,8,1.2e-05,True,context_note_ids=[],"Relevant notes:



User query:
test"
2025-06-21T15:56:02.164648,gpt-3.5-turbo,ask,8,9,17,2.5e-05,True,,
2025-06-21T15:56:50.402004,gpt-3.5-turbo,summarize,1371,114,1485,0.002227,True,,
2025-06-27T23:20:58.566583,gpt-3.5-turbo,summarize,254,153,407,0.000611,True,,
